architecture,task_id,task_revision,model_id,condition_id,trials,reachable_successes,reachability_rate,reachability_ci_lower,reachability_ci_upper,task_successes,task_success_rate,task_success_ci_lower,task_success_ci_upper,blindness_reports,blindness_rate,blindness_ci_lower,blindness_ci_upper,reachable_success,reachable_failure,unreachable_success,unreachable_failure,mean_actions,mean_input_tokens,mean_output_tokens,mean_total_tokens,mean_tokens_per_action,mean_elapsed_seconds,mean_provider_cost_usd
accessibility_tree,read-known-value,2,foundry-gpt-5-6-terra,iframe-same-depth-1,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,5689.3,24.0,5713.3,5713.3,1.7426791000000001,
accessibility_tree,read-known-value,2,foundry-gpt-5-6-terra,iframe-same-depth-2,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,7392.5,24.0,7416.5,7416.5,1.7176854,
accessibility_tree,read-known-value,2,foundry-gpt-5-6-terra,iframe-same-depth-3,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,9178.8,24.0,9202.8,9202.8,1.7364649,
accessibility_tree,read-known-value,2,foundry-gpt-5-6-terra,level-0,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,3699.6,24.0,3723.6,3723.6,1.6172578000000002,
accessibility_tree,read-known-value,2,foundry-gpt-5-6-terra,rendered-canvas,10,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892,0,0,0,10,4.0,9107.9,262.1,9370.0,2342.5,6.9877641,
accessibility_tree,read-known-value,2,foundry-gpt-5-6-terra,shadow-closed,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,3873.3,35.3,3908.6,3908.6,1.7121426,
accessibility_tree,read-known-value,2,foundry-gpt-5-6-terra,shadow-nested-open-open,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,4029.5,38.8,4068.3,4068.3,1.9568550999999998,
accessibility_tree,read-known-value,2,foundry-gpt-5-6-terra,shadow-open,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,3861.0,30.0,3891.0,3891.0,1.6873238000000002,
accessibility_tree,read-known-value,2,foundry-kimi-k2-6,iframe-cross-depth-1,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,5550.5,427.5,5978.0,5978.0,6.3903108,
accessibility_tree,read-known-value,2,foundry-kimi-k2-6,iframe-cross-depth-2,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,7269.6,340.2,7609.8,7609.8,7.6597689,
accessibility_tree,read-known-value,2,foundry-kimi-k2-6,iframe-cross-depth-3,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,8971.9,387.6,9359.5,9359.5,7.972850800000001,
accessibility_tree,read-known-value,2,foundry-kimi-k2-6,iframe-same-depth-1,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,5567.5,320.7,5888.2,5888.2,5.0808704,
accessibility_tree,read-known-value,2,foundry-kimi-k2-6,iframe-same-depth-2,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,7355.6,342.7,7698.3,7698.3,7.0240476,
accessibility_tree,read-known-value,2,foundry-kimi-k2-6,iframe-same-depth-3,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,8985.3,306.5,9291.8,9291.8,12.1495565,
accessibility_tree,read-known-value,2,foundry-kimi-k2-6,level-0,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,3607.8,457.4,4065.2,4065.2,5.4457341,
accessibility_tree,read-known-value,2,foundry-kimi-k2-6,rendered-canvas,10,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892,0,0,0,10,1.0,2675.2,6631.4,9306.6,9306.6,39.206833,
accessibility_tree,read-known-value,2,foundry-kimi-k2-6,shadow-closed,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,3786.3,971.7,4758.0,4758.0,9.598663400000001,
accessibility_tree,read-known-value,2,foundry-kimi-k2-6,shadow-nested-open-open,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,3948.9,1079.2,5028.1,5028.1,9.5409487,
accessibility_tree,read-known-value,2,foundry-kimi-k2-6,shadow-open,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,3793.0,432.3,4225.3,4225.3,7.3058116,
