model,layout,gap,metric,count,n,rate,low,high
foundry/gpt-5.4,table,40,delimitation_error,2,40,0.05,0.013820667386148344,0.16503877369140962
foundry/gpt-5.4,table,96,exact_match,20,40,0.5,0.35199526933465386,0.6480047306653461
foundry/gpt-5.4,table,96,substring_match,20,40,0.5,0.35199526933465386,0.6480047306653461
foundry/gpt-5.4,table,96,target_without_marker,20,40,0.5,0.35199526933465386,0.6480047306653461
foundry/gpt-5.4,table,96,content_exact,20,40,0.5,0.35199526933465386,0.6480047306653461
foundry/gpt-5.4,table,96,delimitation_error,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5.6-terra,cards,8,exact_match,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5.6-terra,cards,8,substring_match,40,40,1.0,0.9123783988027135,1.0000000000000002
foundry/gpt-5.6-terra,cards,8,target_without_marker,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5.6-terra,cards,8,content_exact,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5.6-terra,cards,8,delimitation_error,40,40,1.0,0.9123783988027135,1.0000000000000002
foundry/gpt-5.6-terra,cards,40,exact_match,9,40,0.225,0.12316091323540743,0.37503096742310027
foundry/gpt-5.6-terra,cards,40,substring_match,12,40,0.3,0.18074845229746528,0.45430018818144935
foundry/gpt-5.6-terra,cards,40,target_without_marker,9,40,0.225,0.12316091323540743,0.37503096742310027
foundry/gpt-5.6-terra,cards,40,content_exact,9,40,0.225,0.12316091323540743,0.37503096742310027
foundry/gpt-5.6-terra,cards,40,delimitation_error,3,40,0.075,0.025836025774588198,0.19864233524310543
foundry/gpt-5.6-terra,cards,96,exact_match,5,40,0.125,0.05459500250945401,0.261121198388511
foundry/gpt-5.6-terra,cards,96,substring_match,6,40,0.15,0.07061187717320358,0.2907232436648971
foundry/gpt-5.6-terra,cards,96,target_without_marker,5,40,0.125,0.05459500250945401,0.261121198388511
foundry/gpt-5.6-terra,cards,96,content_exact,5,40,0.125,0.05459500250945401,0.261121198388511
foundry/gpt-5.6-terra,cards,96,delimitation_error,1,40,0.025,0.0044268315026814095,0.1288136896347409
foundry/gpt-5.6-terra,form,8,exact_match,1,40,0.025,0.0044268315026814095,0.1288136896347409
foundry/gpt-5.6-terra,form,8,substring_match,38,40,0.95,0.8349612263085903,0.9861793326138516
foundry/gpt-5.6-terra,form,8,target_without_marker,1,40,0.025,0.0044268315026814095,0.1288136896347409
foundry/gpt-5.6-terra,form,8,content_exact,1,40,0.025,0.0044268315026814095,0.1288136896347409
foundry/gpt-5.6-terra,form,8,delimitation_error,39,40,0.975,0.8711863103652591,0.9955731684973186
foundry/gpt-5.6-terra,form,40,exact_match,40,40,1.0,0.9123783988027135,1.0000000000000002
foundry/gpt-5.6-terra,form,40,substring_match,40,40,1.0,0.9123783988027135,1.0000000000000002
foundry/gpt-5.6-terra,form,40,target_without_marker,40,40,1.0,0.9123783988027135,1.0000000000000002
foundry/gpt-5.6-terra,form,40,content_exact,40,40,1.0,0.9123783988027135,1.0000000000000002
foundry/gpt-5.6-terra,form,40,delimitation_error,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5.6-terra,form,96,exact_match,35,40,0.875,0.738878801611489,0.945404997490546
foundry/gpt-5.6-terra,form,96,substring_match,35,40,0.875,0.738878801611489,0.945404997490546
foundry/gpt-5.6-terra,form,96,target_without_marker,35,40,0.875,0.738878801611489,0.945404997490546
foundry/gpt-5.6-terra,form,96,content_exact,35,40,0.875,0.738878801611489,0.945404997490546
foundry/gpt-5.6-terra,form,96,delimitation_error,0,40,0.0,0.0,0.08762160119728664
